Property Address,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Submarket Cluster,City,State,Zip,County Name,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,Floodplain Area,Number Of Stories,Latitude,Longitude
7 W 18th St,48998,10754,$42.08 - 51.43 (Est.),Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10011-4663,Manhattan,N,12/14/2015,"43,750,000",78.05,1900,2018,5200,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,9,40.738982,-73.992484
10 W 18th St,28100,9000,$41.24 - 50.40 (Est.),Office Building,New York,Chelsea,Midtown South,New York,NY,10011-4606,Manhattan,N,,,67.97,1915,1986,3000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,9,40.7387723,-73.992892
218 W 18th St,166412,40512,$53.52 - 65.42 (Est.),Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10011-4544,Manhattan,N,12/3/2021,"170,000,000",75.66,1912,1984,9314,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.7413625,-73.9990063
36-38 E 20th St,27446,4125,$38.86 - 47.50 (Est.),Loft/Creative Space,New York,Gramercy Park,Midtown South,New York,NY,10003-1315,Manhattan,N,12/19/2018,"21,488,846",84.97,1901,,3431,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,8,40.738501,-73.988709
56 W 22nd St,69596,16524,$42.39 - 51.81 (Est.),Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10010-5812,Manhattan,N,3/24/2020,"48,500,000",76.26,1907,,5508,0.00,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.741834,-73.9928709
26 W 23rd St,21350,3250,$49.75 - 60.81 (Est.),,New York,Chelsea,Midtown South,New York,NY,10010-5212,Manhattan,N,,,84.78,1920,,3000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,6,40.74176,-73.990828
521-531 W 25th St,80988,71573,$50.54 - 61.77 (Est.),Office Live/Work Unit,New York,Chelsea,Midtown South,New York,NY,10001-5501,Manhattan,N,5/23/2019,"56,527,954",11.63,1910,,20247,,Multi,09/05/2007,3604970182F,360497,0182F,100-year Floodplain,4,40.7496377,-74.0042379
11 E 26th St,300000,186890,$62.16 - 75.98 (Est.),,New York,Gramercy Park,Midtown South,New York,NY,10010-1402,Manhattan,N,11/18/2021,"13,000,000",46.00,1913,,14286,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,21,40.7434485,-73.987273
22 W 27th St,72000,12000,$37.81 - 46.21 (Est.),Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10001-6905,Manhattan,N,,,83.33,1910,,6000,0.00,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.744717,-73.98963
31-37 W 27th St,145856,47604,$48.74 - 59.57 (Est.),Office Building,New York,Chelsea,Midtown South,New York,NY,10001-6914,Manhattan,N,7/13/2017,"126,000,000",67.36,1910,,7903,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.7450419,-73.9894819
114-120 W 30th St,56000,15770,$42.38 - 51.80 (Est.),Loft/Creative Space,New York,Chelsea,Midtown South,New York,NY,10001-4002,Manhattan,N,,,71.84,1940,,7198,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,6,40.7474535,-73.9905062
254 W 31st St,68432,15850,$38.61 - 47.19 (Est.),Office Building,New York,Penn Plaza/Garment,Midtown,New York,NY,10001,Manhattan,N,,,76.84,1926,,4110,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,15,40.7499411,-73.9944356
6 E 32nd St,173600,144000,$39.15 - 47.85 (Est.),,New York,Murray Hill,Midtown,New York,NY,10016,Manhattan,N,,,63.13,1910,,15360,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,11,40.7465499,-73.9849749
16 E 34th St,372048,153706,$40.99 - 50.10 (Est.),Office Building,New York,Murray Hill,Midtown,New York,NY,10016-4328,Manhattan,N,,,60.39,1925,,19355,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,22,40.7477878,-73.9837729
44 W 34th St,9845,13696,$46.86 - 57.28 (Est.),,New York,Penn Plaza/Garment,Midtown,New York,NY,10001,Manhattan,N,,,0.00,2005,,1969,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,5,40.749216,-73.9871308
29 W 35th St,98400,82137,$33.77 - 41.28 (Est.),Loft/Creative Space,New York,Penn Plaza/Garment,Midtown,New York,NY,10001-2299,Manhattan,N,7/16/2007,"30,000,000",16.53,1911,,8200,0.00,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.7498987,-73.9855422
240 W 35th St,165696,66919,$40.24 - 49.18 (Est.),Office Building,New York,Penn Plaza/Garment,Midtown,New York,NY,10001-2506,Manhattan,N,10/30/2017,,59.61,1924,2009,9815,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,18,40.752196,-73.991853
460 W 35th St,4937,4937,$40.79 - 49.85 (Est.),Loft/Creative Space,New York,Penn Plaza/Garment,Midtown,New York,NY,10001,Manhattan,N,,,0.00,1940,,2468,0.41,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,2,40.754863,-73.998268
315 W 36th St,157963,143890,$37.89 - 46.31 (Est.),Office/Residential,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-6404,Manhattan,N,,,8.91,1926,,13000,,Multi,01/01/1900,,,,100-year and 500-year Floodplain,16,40.7541147,-73.9934241
20 W 37th St,85100,20250,$33.43 - 40.86 (Est.),Industrial Live/Work Unit,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-7479,Manhattan,N,2/1/2006,"25,500,000",84.14,1912,2010,6750,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,12,40.7506461,-73.9845037
307 W 38th St,325000,72441,$31.56 - 38.58 (Est.),,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-2913,Manhattan,N,,,84.16,1933,2004,15000,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,20,40.755192,-73.992186
9 E 40th St,96376,27602,$38.10 - 46.56 (Est.),Loft/Creative Space,New York,Grand Central,Midtown,New York,NY,10016-0402,Manhattan,N,4/25/2018,"70,250,000",78.03,1913,,5200,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,17,40.751937,-73.980944
16 E 40th St,103381,21576,$35.34 - 43.20 (Est.),,New York,Grand Central,Midtown,New York,NY,10016-0113,Manhattan,N,1/6/2005,"18,700,000",79.13,1911,2005,8615,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,12,40.7516216,-73.980911
114 W 41st St,350000,142380,$48.51 - 59.28 (Est.),Office Building,New York,Penn Plaza/Garment,Midtown,New York,NY,10036-7315,Manhattan,N,12/13/2018,"282,000,000",65.97,1915,2011,13874,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,22,40.7542416,-73.9857421
130 W 42nd St,249704,61686,$46.15 - 56.40 (Est.),,New York,Penn Plaza/Garment,Midtown,New York,NY,10036-7902,Manhattan,N,4/27/2015,"116,992,500",81.14,1917,2020,8323,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,30,40.7551301,-73.9854536
220 W 42nd St,242903,242903,$42.41 - 51.83 (Est.),,New York,Times Square,Midtown,New York,NY,10036-7202,Manhattan,N,11/29/2012,"261,000,000",0.00,1921,1999,10000,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,25,40.7562654,-73.9878952
300 W 43rd St,81861,63280,$37.00 - 45.23 (Est.),Loft/Creative Space,New York,Times Square,Midtown,New York,NY,10036-6582,Manhattan,N,,,22.70,1928,2021,9655,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,6,40.757924,-73.989838
311 W 43rd St,186083,57685,$39.94 - 48.81 (Est.),Office Building,New York,Times Square,Midtown,New York,NY,10036-6413,Manhattan,N,12/14/2018,"131,250,000",77.61,1903,2016,12405,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,15,40.758455,-73.990076
11 E 44th St,135150,43490,$47.75 - 58.36 (Est.),,New York,Grand Central,Midtown,New York,NY,10017-3608,Manhattan,N,1/9/2019,"105,800,000",73.88,1927,2003,7113,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,19,40.7546209,-73.9789098
28 W 44th St,394110,100952,$43.51 - 53.18 (Est.),,New York,Times Square,Midtown,New York,NY,10036-7406,Manhattan,N,12/12/2014,"235,000,000",80.95,1919,2018,19750,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,22,40.7549872,-73.9817163
33 W 46th St,40976,10612,$35.76 - 43.71 (Est.),Medical,New York,Times Square,Midtown,New York,NY,10036-4103,Manhattan,N,12/1/2009,"11,000,000",74.10,1915,1982,100,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,9,40.7568322,-73.9803139
11 E 47th St,12600,2250,$37.16 - 45.42 (Est.),,New York,Plaza District,Midtown,New York,NY,10017-1919,Manhattan,N,,,82.14,1930,,2100,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,6,40.7564527,-73.9775651
18-20 E 50th St,60000,11257,$49.58 - 60.60 (Est.),Office Building,New York,Plaza District,Midtown,New York,NY,10022-6817,Manhattan,N,,,81.24,1915,,5741,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,11,40.7578699,-73.9761373
9 W 54th St,35000,,$45.89 - 56.09 (Est.),Office/Residential,New York,Plaza District,Midtown,New York,NY,10019-5404,Manhattan,Y,3/5/2019,"56,988,404",0.00,1898,1981,5000,,Single,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,6,40.7615738,-73.9762324
155 E 55th St,76710,25758,$37.59 - 45.94 (Est.),Office/Residential,New York,Plaza District,Midtown,New York,NY,10022-4038,Manhattan,N,6/7/2021,"47,000,000",70.33,1961,1982,10548,0.30,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,13,40.7593961,-73.9690243
44 W 55th St,9694,1925,$49.14 - 60.06 (Est.),,New York,Plaza District,Midtown,New York,NY,10019,Manhattan,N,2/6/2013,"6,250,000",80.14,1920,1992,1939,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,5,40.7622771,-73.9769163
423 W 55th St,295800,247979,$45.00 - 55.00 (Est.),Office Building,New York,Columbus Circle,Midtown,New York,NY,10019-4460,Manhattan,N,12/11/2002,"23,000,000",61.26,1925,,24400,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,12,40.767393,-73.988006
49 W 57th St,24176,32735,$50.57 - 61.80 (Est.),Office Building,New York,Plaza District,Midtown,New York,NY,10019-3412,Manhattan,N,,,51.50,1930,,5736,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,4,40.7643938,-73.9765541
133 E 58th St,137623,31239,$54.48 - 66.59 (Est.),Medical,New York,Plaza District,Midtown,New York,NY,10022-1236,Manhattan,N,,,78.64,1930,1974,9175,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,15,40.7618743,-73.9687708
14 E 60th St,152749,30859,$44.14 - 53.95 (Est.),,New York,Plaza District,Midtown,New York,NY,10022-1006,Manhattan,N,,,79.80,1903,,8750,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,13,40.7642432,-73.9716999
407-409 E 70th St,14166,2524,$58.26 - 71.20 (Est.),Medical,New York,Upper East Side,Uptown,New York,NY,10021-5327,Manhattan,N,10/19/2016,"17,000,000",82.18,1920,1985,2833,,Multi,09/05/2007,3604970089F,360497,0089F,100-year and 500-year Floodplain,5,40.7663243,-73.9560954
26 E 78th St,6568,6568,$28.96 - 35.39 (Est.),,New York,Upper East Side,Uptown,New York,NY,10075-1706,Manhattan,N,,,0.00,2023,,1314,,,09/05/2007,3604970089F,360497,0089F,100-year and 500-year Floodplain,5,40.7756495,-73.9631102
101-111 W 116th St,60000,60000,$37.79 - 46.19 (Est.),Office/Residential,New York,Harlem/North Manhattan,Uptown,New York,NY,10026-2521,Manhattan,N,,,0.00,1920,,12000,0.02,Multi,09/05/2007,3604970087F,360497,0087F,100-year and 500-year Floodplain,5,40.8024207,-73.9499786
313-315 W 125th St,30284,21684,$31.54 - 38.54 (Est.),Loft/Creative Space,New York,Harlem/North Manhattan,Uptown,New York,NY,10027,Manhattan,N,11/25/2015,,28.40,1910,2011,5421,,Multi,09/05/2007,3604970087F,360497,0087F,100-year and 500-year Floodplain,5,40.8107609,-73.9519017
564 W 181st St,36000,7388,$41.41 - 50.62 (Est.),Office Building,New York,Harlem/North Manhattan,Uptown,New York,NY,10033-5009,Manhattan,N,,,79.48,1920,1988,18000,,Multi,09/05/2007,3604970081F,360497,0081F,100-year and 500-year Floodplain,2,40.848978,-73.933538
10 Astor Pl,123000,19776,$46.22 - 56.50 (Est.),Office Building,New York,Greenwich Village,Midtown South,New York,NY,10003-6935,Manhattan,N,,,83.92,1876,,17571,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,7,40.7297816,-73.9920605
155 Avenue of the Americas,223563,62017,$49.78 - 60.84 (Est.),Office Building,New York,Hudson Square,Midtown South,New York,NY,10013-1507,Manhattan,N,4/29/2016,"1,439,603",77.30,1929,,12540,,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,15,40.7253648,-74.0049094
620 Avenue of the Americas,723181,140201,$61.07 - 74.64 (Est.),,New York,Chelsea,Midtown South,New York,NY,10011-2041,Manhattan,N,10/4/2012,"225,000,000",84.65,1900,,100000,,Multi,01/01/1900,,,,100-year and 500-year Floodplain,7,40.7400613,-73.9945722
636 Avenue Of The Americas,88148,66987,$45.09 - 55.12 (Est.),,New York,Chelsea,Midtown South,New York,NY,10011-4228,Manhattan,N,10/6/2016,,24.01,1902,2000,10750,10.00,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,7,40.7404759,-73.9941086
1156 Avenue of the Americas,69481,38078,$47.21 - 57.70 (Est.),,New York,Times Square,Midtown,New York,NY,10036-2702,Manhattan,N,9/23/1999,"16,500,000",45.20,1911,2015,7720,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,9,40.7565183,-73.982503
161 Bowery,25346,9900,$40.32 - 49.29 (Est.),Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10002,Manhattan,N,8/30/2018,"24,250,000",60.94,1920,1989,3300,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,7,40.7196513,-73.994043
50 Broad St,275260,98531,$33.97 - 41.52 (Est.),Office/Residential,New York,Financial District,Downtown,New York,NY,10004-2307,Manhattan,N,,,74.01,1913,,13613,,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,20,40.705661,-74.011903
377 Broadway,95000,40854,$50.29 - 61.47 (Est.),,New York,City Hall,Downtown,New York,NY,10013-3907,Manhattan,N,,,75.26,1895,1984,8000,0.00,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,11,40.718152,-74.003503
441 Broadway,15500,4500,$55.20 - 67.47 (Est.),,New York,Soho,Midtown South,New York,NY,10013,Manhattan,N,4/16/2007,"10,500,000",70.97,1915,,2500,,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,5,40.720331,-74.001487
451 Broadway,82955,33225,$48.56 - 59.35 (Est.),Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10013-2744,Manhattan,N,,,84.06,1920,2003,13000,,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,6,40.720731,-74.001351
455-457 Broadway,31300,16650,$53.03 - 64.82 (Est.),Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10013-2575,Manhattan,N,,,46.81,1915,,5217,,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,6,40.7207683,-74.0010822
530 Broadway,198000,62791,$56.49 - 69.04 (Est.),,New York,Soho,Midtown South,New York,NY,10012-3920,Manhattan,N,3/4/2020,"400,000,000",68.29,1898,2023,18000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,11,40.7230638,-73.9984542
622-626 Broadway,122409,48462,$46.22 - 56.50 (Est.),Office Building,New York,Greenwich Village,Midtown South,New York,NY,10012-2600,Manhattan,N,,,60.41,1882,2000,16000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,6,40.7257578,-73.9959044
736 Broadway,29485,8040,$54.02 - 66.03 (Est.),Loft/Creative Space,New York,Greenwich Village,Midtown South,New York,NY,10003-9519,Manhattan,N,6/27/2013,"8,700,000",72.73,1900,,2680,0.00,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,11,40.7296,-73.992867
836-838 Broadway,87053,68230,$45.60 - 55.73 (Est.),Office Building,New York,Gramercy Park,Midtown South,New York,NY,10003-4805,Manhattan,N,10/11/2021,"39,250,000",21.62,1913,2023,13565,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,6,40.7336174,-73.9906902
841 Broadway,91367,13716,$52.03 - 63.60 (Est.),Office Live/Work Unit,New York,Gramercy Park,Midtown South,New York,NY,10003-4704,Manhattan,N,,,84.99,1913,2004,13800,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,8,40.7343367,-73.9911608
853 Broadway,130972,25076,$65.40 - 79.94 (Est.),Office Live/Work Unit,New York,Gramercy Park,Midtown South,New York,NY,10003,Manhattan,N,,,82.77,1926,2004,7687,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,21,40.7345734,-73.9910702
936 Broadway,43427,7107,$45.60 - 55.74 (Est.),,New York,Gramercy Park,Midtown South,New York,NY,10010-6013,Manhattan,N,,,83.63,1884,1986,14000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,5,40.7402852,-73.98917
1165 Broadway,51444,12884,$50.10 - 61.23 (Est.),,New York,Chelsea,Midtown South,New York,NY,10001-7509,Manhattan,N,,,74.96,1923,2020,8600,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,5,40.744943,-73.9890369
1375 Broadway,513401,190064,$43.81 - 53.55 (Est.),Office Building,New York,Penn Plaza/Garment,Midtown,New York,NY,10018,Manhattan,N,7/10/2020,"435,000,000",74.73,1927,,22205,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,25,40.7525783,-73.9879044
1384 Broadway,204034,57457,$41.24 - 50.40 (Est.),Office Building,New York,Penn Plaza/Garment,Midtown,New York,NY,10018,Manhattan,N,,,83.90,1928,2016,8150,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,25,40.7525798,-73.9869841
1619 Broadway,177792,52888,$45.79 - 55.97 (Est.),Office Live/Work Unit,New York,Times Square,Midtown,New York,NY,10019,Manhattan,N,7/21/2016,"123,900,000",70.25,1931,,11401,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,11,40.7611321,-73.9846601
1881-1885 Broadway,23647,14353,$37.05 - 45.28 (Est.),Office Building,New York,Columbus Circle,Midtown,New York,NY,10023-7035,Manhattan,N,,,39.30,1930,,5063,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,5,40.7709363,-73.9825399
1900 Broadway,321000,53750,$58.50 - 71.49 (Est.),,New York,Columbus Circle,Midtown,New York,NY,10023-7004,Manhattan,N,,,83.26,1969,2012,52750,1.29,Multi,01/01/1900,,,,100-year and 500-year Floodplain,8,40.7715169,-73.9808297
100 E Broadway,117000,,$49.08 - 59.99 (Est.),,New York,Soho,Midtown South,New York,NY,10002,Manhattan,Y,,,70.76,2019,,9000,0.51,Multi,01/01/1900,,,,100-year and 500-year Floodplain,14,40.7140319,-73.993227
116 Chambers St,7500,1500,$48.05 - 58.73 (Est.),,New York,Tribeca,Downtown,New York,NY,10007-1336,Manhattan,N,,,80.00,1920,1994,1500,,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,5,40.71501,-74.008531
61-63 Crosby St,26000,8100,$48.94 - 59.82 (Est.),,New York,Soho,Midtown South,New York,NY,10012-4446,Manhattan,N,,,68.85,2018,,4333,,Multi,01/01/1900,,,,100-year and 500-year Floodplain,6,40.7222659,-73.998171
554-568 Eighth Ave,325000,313606,$33.85 - 41.38 (Est.),,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-4303,Manhattan,N,,,12.25,1924,2022,15476,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,21,40.7543686,-73.9914153
90 Fifth Ave,132491,96041,$47.21 - 57.70 (Est.),,New York,Chelsea,Midtown South,New York,NY,10011-7629,Manhattan,N,10/1/2000,"40,000,000",42.93,1903,1986,12045,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,11,40.7362974,-73.9937526
168 Fifth Ave,36000,5570,$54.88 - 67.08 (Est.),,New York,Chelsea,Midtown South,New York,NY,10010-5910,Manhattan,N,,,84.53,1921,2008,4474,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,5,40.7408129,-73.9905178
220 Fifth Ave,169556,60342,$44.96 - 54.96 (Est.),Office Building,New York,Chelsea,Midtown South,New York,NY,10001-7708,Manhattan,N,,,73.23,1911,,6858,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,21,40.7437168,-73.9884073
260 Fifth Ave,72000,12000,$39.79 - 48.63 (Est.),Office Building,New York,Chelsea,Midtown South,New York,NY,10001-6408,Manhattan,N,5/7/2021,"52,500,000",83.33,1897,2014,6000,0.00,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.7451577,-73.9872855
261 Fifth Ave,403296,78192,$54.22 - 66.27 (Est.),Office Live/Work Unit,New York,Gramercy Park,Midtown South,New York,NY,10016-7701,Manhattan,N,7/28/2005,"180,000,000",80.61,1928,2015,17307,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,26,40.744958,-73.986627
298 Fifth Ave,33360,12500,$35.70 - 43.63 (Est.),Office Building,New York,Penn Plaza/Garment,Midtown,New York,NY,10001-4522,Manhattan,N,,,76.02,1913,,3000,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,7,40.7465335,-73.986267
313 Fifth Ave,12600,4000,$45.17 - 55.21 (Est.),,New York,Murray Hill,Midtown,New York,NY,10016,Manhattan,N,,,68.25,1925,2005,2520,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,5,40.7468489,-73.9853807
366 Fifth Ave,173735,51787,$41.95 - 51.27 (Est.),Office Live/Work Unit,New York,Penn Plaza/Garment,Midtown,New York,NY,10001-2211,Manhattan,N,,,78.48,1907,,11562,,Multi,09/05/2007,3604970201F,360497,0201F,100-year and 500-year Floodplain,12,40.749193,-73.9847018
404 Fifth Ave,123525,123525,$43.10 - 52.68 (Est.),Office Building,New York,Penn Plaza/Garment,Midtown,New York,NY,10018-2797,Manhattan,N,8/13/1998,"16,330,000",0.00,1914,2005,13266,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,8,40.7502584,-73.9835982
489 Fifth Ave,175746,29928,$53.37 - 65.23 (Est.),Office Building,New York,Grand Central,Midtown,New York,NY,10017-6109,Manhattan,N,1/12/2001,"43,180,000",82.97,1970,,4988,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,34,40.7530011,-73.98088
581 Fifth Ave,16687,3474,$62.08 - 75.88 (Est.),,New York,Plaza District,Midtown,New York,NY,10017-1918,Manhattan,N,,,79.18,1920,,3000,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,5,40.756771,-73.978145
681 Fifth Ave,82573,43354,$60.50 - 73.95 (Est.),,New York,Plaza District,Midtown,New York,NY,10022-4209,Manhattan,N,12/1/2005,"86,000,000",54.56,1912,2011,4404,,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,18,40.760688,-73.9752621
693 Fifth Ave,96514,45519,$66.86 - 81.72 (Est.),Office Building,New York,Plaza District,Midtown,New York,NY,10022-3110,Manhattan,N,6/10/2016,"525,000,000",68.13,1993,,4826,0.00,Multi,09/05/2007,3604970088F,360497,0088F,100-year and 500-year Floodplain,20,40.7611988,-73.9749248
1255 Fifth Ave,34954,,$32.62 - 39.87 (Est.),,New York,Upper East Side,Uptown,New York,NY,10029-3852,Manhattan,N,,,75.19,1925,,4369,,Multi,09/05/2007,3604970087F,360497,0087F,100-year and 500-year Floodplain,8,40.7950031,-73.9503016
1114 First Ave,43180,38864,$44.98 - 54.98 (Est.),Office Building,New York,Plaza District,Midtown,New York,NY,10065-8325,Manhattan,N,7/16/1998,"6,500,000",10.00,1947,,4750,,Multi,09/05/2007,3604970089F,360497,0089F,100-year and 500-year Floodplain,8,40.7609086,-73.9607652
71-73 Gansevoort St,18436,10217,$60.51 - 73.95 (Est.),,New York,Hudson Square,Midtown South,New York,NY,10014-1411,Manhattan,N,,,63.02,1920,,6665,,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,3,40.7395671,-74.0077759
72-76 Greene St,45000,7880,$50.53 - 61.76 (Est.),Loft/Creative Space,New York,Soho,Midtown South,New York,NY,10012-4373,Manhattan,N,12/11/2012,"41,100,000",82.49,1900,,7500,,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,6,40.723265,-74.000556
5 Hanover Sq,338049,152215,$38.75 - 47.36 (Est.),,New York,Financial District,Downtown,New York,NY,10004,Manhattan,N,8/22/2013,"104,000,000",77.52,1961,2006,13000,,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,25,40.70503,-74.009179
2-6 Harrison St,50000,19164,$45.52 - 55.63 (Est.),Loft/Creative Space,New York,Tribeca,Downtown,New York,NY,10013-2810,Manhattan,N,,,61.67,1884,,6368,,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,6,40.7188563,-74.0091206
60 Hudson St,1098735,400660,$56.32 - 68.84 (Est.),Telecom Hotel/Data Hosting,New York,Tribeca,Downtown,New York,NY,10013,Manhattan,N,,,63.73,1930,2013,57983,,Multi,09/05/2007,3604970184F,360497,0184F,100-year and 500-year Floodplain,23,40.717643,-74.0082492
174 Hudson St,80500,22508,$45.08 - 55.10 (Est.),,New York,Tribeca,Downtown,New York,NY,10013-2161,Manhattan,N,8/17/1995,"1,900,000",72.04,1915,1998,11000,,Multi,09/05/2007,3604970182F,360497,0182F,100-year and 500-year Floodplain,6,40.7224404,-74.0077605
345 Hudson St,983515,406438,$65.51 - 80.07 (Est.),Office Building,New York,Hudson Square,Midtown South,New York,NY,10014,Manhattan,N,4/29/2016,"7,203,566",58.67,1931,,57853,,Multi,09/05/2007,3604970182F,360497,0182F,500-year Floodplain,17,40.7277612,-74.0078946
